model,accuracy,precision,recall,f1,roc_auc
RF,0.8699186991869918,0.8484848484848485,0.9882352941176471,0.9130434782608695,0.8739938080495357
LogReg,0.8617886178861789,0.84,0.9882352941176471,0.9081081081081082,0.8724458204334365
KNN,0.8617886178861789,0.8469387755102041,0.9764705882352941,0.907103825136612,0.8444272445820433
GB,0.8536585365853658,0.8526315789473684,0.9529411764705882,0.9,0.85
SVC,0.8455284552845529,0.8235294117647058,0.9882352941176471,0.8983957219251337,0.8650154798761609
Ada,0.8536585365853658,0.8850574712643678,0.9058823529411765,0.8953488372093024,0.8476780185758513
DT,0.8455284552845529,0.84375,0.9529411764705882,0.8950276243093923,0.8065015479876161
XGB,0.8130081300813008,0.8604651162790697,0.8705882352941177,0.8654970760233918,0.8154798761609907
